Retailer,Country,Laptop URL,URL Discovered,HTTP,Playwright,Firecrawl,Adapter,Final Status,Failure Reason,Evidence Path
Agres,Indonesia,https://www.agres.id/categories/laptops,YES,NO,NO,NO,NO,FAILED,BOT_CHALLENGE_PAGE,evidence/agres/indonesia/laptop/laptops/
Acer,Global,NONE,NO,N/A,N/A,N/A,N/A,NOT_DISCOVERED,DISCOVERY_BLOCKED (TIMEOUT),evidence/acer/global/laptop/none/
Amazon,United States,https://www.amazon.com/AKCHART-Laptop-Office-256GB-Laptops/dp/B0H94LG15F/ref=sr_1_1?dib=eyJ2IjoiMSJ9.LpbZJ_bx38FT33B_jRrWBwt6_FJK43Teon7pS3Dy3stzTqcUWqf9U0NBgW_Ja-QSjv8RRVaPQMpGFoJiltKGG5cEc9ZsaNEgvX21GKHlUJrgZ-LL08Cl8eV22gZm9HA_qI06soqR2n7DlzvxPmke4KmrVCMmFTV1XCd0JfSjfhpBhqIxsC71jnWYwbjNl3rrxobIh9EGXr3wvt6H2XulYz1GfSKbji_ZxWFU8MnSBCE.3hhdNiVrG6yVe-Yq3LHBJmwrWKeRxq28DqIZJGD2TJk&dib_tag=se&keywords=laptop&qid=1787557031&sr=8-1,YES,YES,NO,YES,NO,SUCCESS,NONE,evidence/amazon/united_states/laptop/ref=sr_1_1/
Amazon,India,https://www.amazon.in/ASUS-Vivobook-i5-13420H-Keyboard-X1605VA-SH1952WS/dp/B0FN9WN6XD/ref=sr_1_3?dib=eyJ2IjoiMSJ9.YCD62Cm6YiAsNErT-6-DiISaPQvy3ePlUAfeo1TL337UbKwVM_vAi1-onOkc7-XCIgqtPHhIAyZwdkfl3ZbWDvSzD03vwM0gr1KhOLbjp88n_aiqTixndAJIkzJIZ72bDmX5Cx0WxApU6RyHmHEP-RfqDBg-42HkPPl_eLYdudDNnHiNNhQ1Wm3FFx2KYacvKsFw0L3rkf2bJUoOFUEJTnHbsPxxZuwewp-hjetLbf8.evknooEOLXmpBApXCfrxpIsFP6nJqdDtD5WywYgWK_s&dib_tag=se&keywords=laptop&qid=1787557040&sr=8-3,YES,NO,NO,NO,NO,FAILED,BOT_CHALLENGE_PAGE,evidence/amazon/india/laptop/ref=sr_1_3/
Amazon,United Kingdom,https://www.amazon.co.uk/laptops/b/?ie=UTF8&node=429886031&ref_=sv_computers_3,YES,YES,YES,YES,NO,SUCCESS,NONE,evidence/amazon/united_kingdom/laptop/none/
Amazon,Germany,https://www.amazon.de/Lenovo-IdeaPad-Display-Windows-Kameraschutzabdeckung/dp/B0FKC3X8X3/ref=sr_1_3?dib=eyJ2IjoiMSJ9.hFD8ZYAzyqV1lAlS5fAh7Mz75UEfUf_MEgsHGu_mq5_gP2wis3WPWtzX6GtX2AV3SsaHhIMT2rucFmR_XOIdCb7UN7hVuLaEs9w_baK7MymmA1bIQWd5czjbXgkfcPR58XOj_hFI2Snqwvj1w9V2UHbOBnzhXzhvfgdkbvbqa5vGsIBp3I7G1xTmYnr0b71sy_dY1beOtpqD4UGOPyvjzlgV0vUaHFEZJ7LU6F0JzBE.gLgbHpIRcQIXg6qPrYNYHsND5sXBB1RAR4sM1Ix7_ho&dib_tag=se&keywords=laptop&qid=1787557064&sr=8-3,YES,NO,NO,NO,NO,FAILED,BOT_CHALLENGE_PAGE,evidence/amazon/germany/laptop/ref=sr_1_3/
Amazon,France,https://www.amazon.fr/Informatique-ordinateur-portable-laptop/b/?ie=UTF8&node=429879031&ref_=sv_computers_3,YES,NO,NO,NO,NO,FAILED,AKAMAI_BOT_MANAGER_BLOCK,evidence/amazon/france/laptop/none/
Amazon,Italy,https://www.amazon.it/dp/B0D8KH4LNB/ref=sspa_dk_browse_4/?_encoding=UTF8&ie=UTF8&psc=1&spc=MTo0OTkzNzU3NDU1NDE5MjIzOjE5NDUyMzcwOTg6c3BfYnJvd3NlX3RoZW1hdGljOjMwMDU0NDc4MTM2MTgzMjowOjQ6Og%3D%3D&sp_csd=d2lkZ2V0TmFtZT1zcF9icm93c2VfdGhlbWF0aWM%3D&sp_cr=ZAZ&aref=V2HceE4elb&pd_rd_w=Zl9SB&content-id=amzn1.sym.a30bf1aa-2765-4ad3-8c9f-469a10e9b606&pf_rd_p=a30bf1aa-2765-4ad3-8c9f-469a10e9b606&pf_rd_r=NYVCNBWPVKTHKNNEGMTQ&pd_rd_wg=Ll4VL&pd_rd_r=03931ae1-c228-4c80-8908-ce0ab82ba2a5&ref_=sspa_dk_browse,YES,YES,YES,NO,NO,SUCCESS,NONE,evidence/amazon/italy/laptop/none/
Amazon,Spain,https://www.amazon.es/Bouzerara-Ordenador-Portatil-Convertible-Bluetooth/dp/B0H3PGGXKZ/ref=sr_1_4?dib=eyJ2IjoiMSJ9.UiNNSVu7n0JbqJ5NBVcdBbU58SYj27AGd6dxQIJKTGATdD-Mydw-Ef5IumGo_ee1FMbUHeRoR69YDZGaVS1uWvKWQ8EOnZKvbRX4v9GfaU4JOA6-O5IrW5U8V4zGBOLbfkKy9xPBFVw8m3NSFk5eoBBZjQI9aM_GHOKLDDNfoMAbi8S8YwJq9Zw6aKUwFIrPYqNRellOr74Jma77nyIjHgXcdQAZcTZl1oXI2_GT7W3gMu91_ZYDJgixAq3ISq-mqpeeAYWYdifAgRIkPD7HC5V1cdFt7PafNe8FKQOm9vg.93sShY9TTTs8zg6U-LVxPxq9WN5YsF3wNRCSR4dt-iU&dib_tag=se&keywords=laptop&qid=1787557108&sr=8-4,YES,NO,NO,NO,NO,FAILED,EMPTY_RESPONSE,evidence/amazon/spain/laptop/ref=sr_1_4/
Amazon,Canada,https://www.amazon.ca/HP-Processor-Storage-Graphics-15-fd0016ca/dp/B0DVD5RQ86/ref=sr_1_5?dib=eyJ2IjoiMSJ9.5d93cHZmg-O2ODg3S2SZi66Ex4MhYxUWsyx_nxvazCfDJe4M3C0z_tiKrZ2PVT7wWuI4UtGT3paB4EX7ofnzalb2AHNp2qHxmbbRpBISpiKOeG-AsTufBTtYQQ1uwp175WerIjpN5z64UAy8qj3hV5tDfBsFZ5wiKqfFX6ZwweLefyxoByjF4CAaKgJ6uxB7VRTd6j_wkeFx2uKsjeHQRJjXe9J4K-n9uZBzXg449JUlO11Jv0WGOAtStDKzoDMtx1dfD66ebJb_l3_CenQELZw6ivUD8Er4jtVwOl09jJ4.zpvgV2JTIssALcr28GwLkvwuapDe4LL1KjcUVoGv2vo&dib_tag=se&keywords=laptop&qid=1787557118&sr=8-5,YES,NO,NO,NO,NO,FAILED,BOT_CHALLENGE_PAGE,evidence/amazon/canada/laptop/ref=sr_1_5/
Amazon,Mexico,https://www.amazon.com.mx/HP-15-fd1340la-Windows-Garant%C3%ADa-Plateado/dp/B0GR2PK79C/ref=sr_1_5?dib=eyJ2IjoiMSJ9.hbNRfpoyX3Pj-FPZHZT2EGFgqzzM8Up6GWvmWtm8VOg2jA0aXWKxEBONGCn2dEIXL0RS03oYCvG2YwtQmQQBYeQ7GhtExQOXp7U9dkEyILDr0VB2ViF6GACDRIiqO72OHhEMR8HGd41kYuxdsE7w4IqqUByfoDOV8ufRqi2LhhY1hVFFVwFDifAzVceXbVy73RL6e6YDb8HPOCo3TQASp2T32MWQ8hTUg_Rd2ETPBVY55juQufEffEF7XUwqUPpIR0dVjoFMG0C6sjGVSG1tCk5eCEbI0cb2OQGnO07jEPY.ubD2Iq3kKT9L005XEgRc9LUIR9xHIk9jaJJz36dVlJs&dib_tag=se&keywords=laptop&qid=1787557129&sr=8-5&ufe=app_do%3Aamzn1.fos.e9c905c0-296e-4852-9ea7-c9f4c88300d3,YES,NO,NO,NO,NO,FAILED,BOT_CHALLENGE_PAGE,evidence/amazon/mexico/laptop/ref=sr_1_5/
Amazon,Brazil,https://www.amazon.com.br/Notebook-Positivo-Celeron-Armazenamento-capacitiva/dp/B0FPGHQMRY/ref=sr_1_5?dib=eyJ2IjoiMSJ9.mYICUB7xWsc8_Q3de5BODPxcByOTGJDK0ImfgICTXIAerC5tM2wrRQdjnIIEwZO9K0x5Uomvs4GZacp--w2S4a6ecw6TG4gvpSzCkdOscGm-mseXP_mx_T7wf6kQP_IDpf-ijO2CIWFoCBlnV6IxOuxiJ8qwFP4XbvVYZ-ZnUVjMD9ejn_CRSSr_w4C0y1FB5fAOK_htAwdHhkR7uXEIvDWCrFWKAqQqVWHQ5LOI1fH6GBg-blLHB79_J8RtodoNhqGwwICZuwGqEQRm7egsoyzXJC3-9LuPKAzl7dhh4kI.jdQh9AQqziAmh5tmcMhopMZsmSBL_cL76AsE9Ya2Bdk&dib_tag=se&keywords=laptop&qid=1787557141&sr=8-5&ufe=app_do%3Aamzn1.fos.38059ce3-943c-48af-9fc9-22d85542b02c,YES,NO,NO,NO,NO,FAILED,BOT_CHALLENGE_PAGE,evidence/amazon/brazil/laptop/ref=sr_1_5/
